DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,2564798,,
1951-12-31,2589204,0.95,
1952-12-31,2615037,1,
1953-12-31,2641911,1.03,
1954-12-31,2669860,1.06,
1955-12-31,2699051,1.09,
1956-12-31,2729749,1.14,
1957-12-31,2762994,1.22,
1958-12-31,2799003,1.3,
1959-12-31,2836501,1.34,
1960-12-31,2875684,1.38,
1961-12-31,2915626,1.39,
1962-12-31,2952461,1.26,
1963-12-31,2986530,1.15,
1964-12-31,3020457,1.14,
1965-12-31,3052979,1.08,
1966-12-31,3084148,1.02,
1967-12-31,3115198,1.01,
1968-12-31,3146348,1,
1969-12-31,3177836,1,
1970-12-31,3210147,1.02,
1971-12-31,3243675,1.04,
1972-12-31,3276294,1.01,
1973-12-31,3307075,0.94,
1974-12-31,3337697,0.93,
1975-12-31,3368287,0.92,
1976-12-31,3399021,0.91,
1977-12-31,3430115,0.91,
1978-12-31,3460849,0.9,
1979-12-31,3491432,0.88,
1980-12-31,3521206,0.85,
1981-12-31,3550539,0.83,
1982-12-31,3580825,0.85,
1983-12-31,3612640,0.89,
1984-12-31,3643837,0.86,
1985-12-31,3672852,0.8,
1986-12-31,3702828,0.82,
1987-12-31,3732005,0.79,
1988-12-31,3755541,0.63,
1989-12-31,3773180,0.47,
1990-12-31,3785847,0.34,
1991-12-31,3793425,0.2,
1992-12-31,3795742,0.06,
1993-12-31,3788528,-0.19,
1994-12-31,3770456,-0.48,
1995-12-31,3747267,-0.62,
1996-12-31,3722022,-0.67,
1997-12-31,3694896,-0.73,
1998-12-31,3665510,-0.8,
1999-12-31,3633944,-0.86,
2000-12-31,3599637,-0.94,
2001-12-31,3560142,-1.1,
2002-12-31,3515799,-1.25,
2003-12-31,3469675,-1.31,
2004-12-31,3422591,-1.36,
2005-12-31,3373533,-1.43,
2006-12-31,3322932,-1.5,
2007-12-31,3272418,-1.52,
2008-12-31,3224378,-1.47,
2009-12-31,3180479,-1.36,
2010-12-31,3139019,-1.3,
2011-12-31,3099798,-1.25,
2012-12-31,3063341,-1.18,
2013-12-31,3028189,-1.15,
2014-12-31,2994927,-1.1,
2015-12-31,2963765,-1.04,
2016-12-31,2933673,-1.02,
2017-12-31,2904450,-1,
2018-12-31,2876128,-0.98,
2019-12-31,2849083,-0.94,
2020-12-31,2820267,-1.01,
2021-12-31,2786651,-1.19,
2022-12-31,2750055,-1.31,
2023-12-31,2718352,-1.15,
2024-12-31,2692798,-0.94,
2025-12-31,2668446,-0.9,
2026-12-31,2645221,-0.87,
2027-12-31,2622934,-0.84,
2028-12-31,2601223,-0.83,
2029-12-31,2579906,-0.82,
2030-12-31,2558928,-0.81,
2031-12-31,2538213,-0.81,
2032-12-31,2517665,-0.81,
2033-12-31,2497243,-0.81,
2034-12-31,2476990,-0.81,
2035-12-31,2456932,-0.81,
2036-12-31,2437128,-0.81,
2037-12-31,2417606,-0.8,
2038-12-31,2398329,-0.8,
2039-12-31,2379311,-0.79,
2040-12-31,2360590,-0.79,
2041-12-31,2342143,-0.78,
2042-12-31,2323956,-0.78,
2043-12-31,2306096,-0.77,
2044-12-31,2288573,-0.76,
2045-12-31,2271313,-0.75,
2046-12-31,2254285,-0.75,
2047-12-31,2237425,-0.75,
2048-12-31,2220704,-0.75,
2049-12-31,2204104,-0.75,
2050-12-31,2187550,-0.75,
2051-12-31,2170990,-0.76,
2052-12-31,2154416,-0.76,
2053-12-31,2137798,-0.77,
2054-12-31,2121113,-0.78,
2055-12-31,2104361,-0.79,
2056-12-31,2087537,-0.8,
2057-12-31,2070651,-0.81,
2058-12-31,2053722,-0.82,
2059-12-31,2036744,-0.83,
2060-12-31,2019733,-0.84,
2061-12-31,2002804,-0.84,
2062-12-31,1985987,-0.84,
2063-12-31,1969242,-0.84,
2064-12-31,1952579,-0.85,
2065-12-31,1936043,-0.85,
2066-12-31,1919723,-0.84,
2067-12-31,1903598,-0.84,
2068-12-31,1887678,-0.84,
2069-12-31,1872058,-0.83,
2070-12-31,1856727,-0.82,
2071-12-31,1841675,-0.81,
2072-12-31,1826928,-0.8,
2073-12-31,1812520,-0.79,
2074-12-31,1798464,-0.78,
2075-12-31,1784730,-0.76,
2076-12-31,1771303,-0.75,
2077-12-31,1758181,-0.74,
2078-12-31,1745335,-0.73,
2079-12-31,1732772,-0.72,
2080-12-31,1720494,-0.71,
2081-12-31,1708445,-0.7,
2082-12-31,1696595,-0.69,
2083-12-31,1684939,-0.69,
2084-12-31,1673489,-0.68,
2085-12-31,1662231,-0.67,
2086-12-31,1651135,-0.67,
2087-12-31,1640179,-0.66,
2088-12-31,1629316,-0.66,
2089-12-31,1618520,-0.66,
2090-12-31,1607822,-0.66,
2091-12-31,1597242,-0.66,
2092-12-31,1586748,-0.66,
2093-12-31,1576291,-0.66,
2094-12-31,1565861,-0.66,
2095-12-31,1555447,-0.67,
2096-12-31,1545006,-0.67,
2097-12-31,1534545,-0.68,
2098-12-31,1524091,-0.68,
2099-12-31,1513608,-0.69,
2100-12-31,1503077,-0.7,
