Date,Frequency
1971-01,0
1971-02,0
1971-03,0
1971-04,0
1971-05,0
1971-06,0
1971-07,3
1971-08,6
1971-09,0
1971-10,0
1971-11,0
1971-12,0
1972-01,0
1972-02,0
1972-03,0
1972-04,1
1972-05,2
1972-06,1
1972-07,0
1972-08,1
1972-09,0
1972-10,0
1972-11,0
1972-12,0
1973-01,0
1973-02,0
1973-03,0
1973-04,0
1973-05,1
1973-06,2
1973-07,3
1973-08,1
1973-09,0
1973-10,1
1973-11,0
1973-12,0
1974-01,2
1974-02,0
1974-03,0
1974-04,0
1974-05,1
1974-06,2
1974-07,0
1974-08,1
1974-09,4
1974-10,1
1974-11,1
1974-12,0
1975-01,0
1975-02,0
1975-03,1
1975-04,0
1975-05,1
1975-06,1
1975-07,2
1975-08,4
1975-09,0
1975-10,0
1975-11,0
1975-12,0
1976-01,0
1976-02,0
1976-03,0
1976-04,0
1976-05,3
1976-06,1
1976-07,5
1976-08,0
1976-09,4
1976-10,0
1976-11,0
1976-12,1
1977-01,0
1977-02,1
1977-03,2
1977-04,2
1977-05,1
1977-06,3
1977-07,1
1977-08,1
1977-09,0
1977-10,0
1977-11,0
1977-12,0
1978-01,0
1978-02,0
1978-03,0
1978-04,0
1978-05,1
1978-06,2
1978-07,0
1978-08,3
1978-09,0
1978-10,0
1978-11,0
1978-12,0
1979-01,0
1979-02,0
1979-03,1
1979-04,1
1979-05,3
1979-06,2
1979-07,0
1979-08,1
1979-09,0
1979-10,0
1979-11,0
1979-12,0
1980-01,0
1980-02,0
1980-03,0
1980-04,0
1980-05,0
1980-06,4
1980-07,2
1980-08,1
1980-09,2
1980-10,1
1980-11,0
1980-12,0
1981-01,1
1981-02,0
1981-03,2
1981-04,1
1981-05,3
1981-06,1
1981-07,1
1981-08,2
1981-09,1
1981-10,1
1981-11,0
1981-12,0
1982-01,0
1982-02,0
1982-03,1
1982-04,0
1982-05,2
1982-06,7
1982-07,4
1982-08,3
1982-09,3
1982-10,0
1982-11,0
1982-12,0
1983-01,0
1983-02,0
1983-03,0
1983-04,4
1983-05,7
1983-06,3
1983-07,6
1983-08,3
1983-09,0
1983-10,0
1983-11,0
1983-12,1
1984-01,0
1984-02,0
1984-03,0
1984-04,0
1984-05,1
1984-06,3
1984-07,1
1984-08,4
1984-09,2
1984-10,0
1984-11,0
1984-12,0
1985-01,0
1985-02,0
1985-03,1
1985-04,0
1985-05,1
1985-06,5
1985-07,4
1985-08,0
1985-09,0
1985-10,0
1985-11,0
1985-12,0
1986-01,0
1986-02,0
1986-03,1
1986-04,1
1986-05,1
1986-06,0
1986-07,1
1986-08,4
1986-09,0
1986-10,0
1986-11,0
1986-12,1
1987-01,0
1987-02,0
1987-03,0
1987-04,0
1987-05,0
1987-06,2
1987-07,1
1987-08,4
1987-09,1
1987-10,0
1987-11,0
1987-12,0
1988-01,2
1988-02,0
1988-03,0
1988-04,0
1988-05,2
1988-06,1
1988-07,3
1988-08,0
1988-09,0
1988-10,1
1988-11,0
1988-12,0
1989-01,0
1989-02,0
1989-03,0
1989-04,1
1989-05,1
1989-06,1
1989-07,1
1989-08,1
1989-09,1
1989-10,0
1989-11,0
1989-12,4
1990-01,0
1990-02,0
1990-03,0
1990-04,0
1990-05,0
1990-06,0
1990-07,0
1990-08,0
1990-09,0
1990-10,2
1990-11,0
1990-12,0
1991-01,0
1991-02,0
1991-03,0
1991-04,1
1991-05,0
1991-06,1
1991-07,3
1991-08,0
1991-09,1
1991-10,0
1991-11,0
1991-12,0
1992-01,0
1992-02,0
1992-03,1
1992-04,0
1992-05,4
1992-06,1
1992-07,1
1992-08,3
1992-09,0
1992-10,0
1992-11,0
1992-12,0
1993-01,0
1993-02,0
1993-03,0
1993-04,0
1993-05,4
1993-06,3
1993-07,2
1993-08,0
1993-09,0
1993-10,2
1993-11,0
1993-12,0
1994-01,1
1994-02,0
1994-03,0
1994-04,1
1994-05,0
1994-06,2
1994-07,4
1994-08,2
1994-09,3
1994-10,0
1994-11,0
1994-12,0
1995-01,1
1995-02,1
1995-03,0
1995-04,1
1995-05,0
1995-06,0
1995-07,5
1995-08,1
1995-09,2
1995-10,0
1995-11,0
1995-12,0
1996-01,0
1996-02,0
1996-03,0
1996-04,0
1996-05,0
1996-06,2
1996-07,2
1996-08,3
1996-09,0
1996-10,0
1996-11,0
1996-12,0
1997-01,0
1997-02,2
1997-03,0
1997-04,0
1997-05,4
1997-06,2
1997-07,0
1997-08,5
1997-09,1
1997-10,0
1997-11,0
1997-12,0
1998-01,0
1998-02,0
1998-03,0
1998-04,6
1998-05,1
1998-06,2
1998-07,2
1998-08,1
1998-09,2
1998-10,1
1998-11,0
1998-12,0
1999-01,0
1999-02,0
1999-03,0
1999-04,1
1999-05,4
1999-06,1
1999-07,4
1999-08,6
1999-09,4
1999-10,1
1999-11,0
1999-12,0
2000-01,0
2000-02,0
2000-03,0
2000-04,1
2000-05,2
2000-06,0
2000-07,2
2000-08,4
2000-09,2
2000-10,0
2000-11,0
2000-12,1
2001-01,0
2001-02,1
2001-03,1
2001-04,1
2001-05,4
2001-06,1
2001-07,3
2001-08,5
2001-09,0
2001-10,0
2001-11,0
2001-12,0
2002-01,0
2002-02,0
2002-03,0
2002-04,1
2002-05,2
2002-06,0
2002-07,3
2002-08,3
2002-09,0
2002-10,0
2002-11,1
2002-12,0
2003-01,0
2003-02,0
2003-03,0
2003-04,0
2003-05,2
2003-06,3
2003-07,0
2003-08,1
2003-09,0
2003-10,0
2003-11,0
2003-12,0
2004-01,1
2004-02,1
2004-03,0
2004-04,1
2004-05,1
2004-06,0
2004-07,3
2004-08,9
2004-09,0
2004-10,1
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,3
2005-06,3
2005-07,0
2005-08,1
2005-09,2
2005-10,1
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,1
2006-04,0
2006-05,6
2006-06,0
2006-07,5
2006-08,4
2006-09,3
2006-10,3
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,1
2007-04,0
2007-05,1
2007-06,4
2007-07,3
2007-08,2
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,1
2008-02,0
2008-03,0
2008-04,2
2008-05,2
2008-06,0
2008-07,3
2008-08,1
2008-09,3
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,2
2009-05,1
2009-06,3
2009-07,3
2009-08,2
2009-09,1
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,1
2010-04,0
2010-05,0
2010-06,2
2010-07,1
2010-08,2
2010-09,1
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,2
2011-05,1
2011-06,0
2011-07,0
2011-08,2
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,1
2012-05,5
2012-06,0
2012-07,2
2012-08,3
2012-09,1
2012-10,1
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,1
2013-06,1
2013-07,3
2013-08,0
2013-09,0
2013-10,1
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,2
2014-04,1
2014-05,2
2014-06,2
2014-07,2
2014-08,3
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,1
2015-07,2
2015-08,1
2015-09,0
2015-10,0
2015-11,0
2015-12,0
